cardinal,cardinalLabel,cardinalTypeInSampleLabel,birthDate,birthPlaceLabel,cardinalStartTime,bishopStartTime,priestStartTime
http://www.wikidata.org/entity/Q312043,Giovanni Lajolo,Cardinal,1935-01-03T00:00:00Z,Novara,2007-11-24T00:00:00Z,,1960-04-29T00:00:00Z
http://www.wikidata.org/entity/Q503833,Justin Francis Rigali,Cardinal,1935-04-19T00:00:00Z,Los Angeles,2003-10-21T00:00:00Z,1985-09-14T00:00:00Z,1961-04-25T00:00:00Z
http://www.wikidata.org/entity/Q562868,Santos Abril y Castelló,Cardinal,1935-09-21T00:00:00Z,Alfambra,2012-02-18T00:00:00Z,1985-06-16T00:00:00Z,1960-03-19T00:00:00Z
http://www.wikidata.org/entity/Q918715,Roger Mahony,Cardinal,1936-02-27T00:00:00Z,Hollywood,1991-06-28T00:00:00Z,1975-03-19T00:00:00Z,1962-05-01T00:00:00Z
http://www.wikidata.org/entity/Q546843,Anthony Olubunmi Okogie,Cardinal,1936-06-16T00:00:00Z,Lagos,2003-10-21T00:00:00Z,1971-08-29T00:00:00Z,1966-12-11T00:00:00Z
http://www.wikidata.org/entity/Q44898,Antonio María Rouco Varela,cardinal priest,1936-08-20T00:00:00Z,Vilalba,1998-02-21T00:00:00Z,1976-10-31T00:00:00Z,
http://www.wikidata.org/entity/Q280804,Nicolás de Jesús López Rodríguez,Cardinal,1936-10-31T00:00:00Z,La Vega Province,1991-06-28T00:00:00Z,1978-02-25T00:00:00Z,1961-03-18T00:00:00Z
http://www.wikidata.org/entity/Q82692,Ennio Antonelli,Cardinal,1936-11-18T00:00:00Z,Todi,2003-10-21T00:00:00Z,1982-08-29T00:00:00Z,1960-04-02T00:00:00Z
http://www.wikidata.org/entity/Q521212,Théodore-Adrien Sarr,Cardinal,1936-11-28T00:00:00Z,Fadiouth,2007-11-24T00:00:00Z,1974-11-24T00:00:00Z,1964-05-28T00:00:00Z
http://www.wikidata.org/entity/Q458569,Audrys Bačkis,Cardinal,1937-02-01T00:00:00Z,Kaunas,2001-02-21T00:00:00Z,1988-10-04T00:00:00Z,1961-03-18T00:00:00Z
http://www.wikidata.org/entity/Q542624,Raymundo Damasceno Assis,Cardinal,1937-02-15T00:00:00Z,Minas Gerais,2010-11-20T00:00:00Z,1986-09-15T00:00:00Z,1968-03-19T00:00:00Z
http://www.wikidata.org/entity/Q2444070,Toribio Ticona Porco,Cardinal,1937-04-25T00:00:00Z,Atocha,2018-06-28T00:00:00Z,1986-05-31T00:00:00Z,1967-01-29T00:00:00Z
http://www.wikidata.org/entity/Q443918,Lluís Martínez i Sistach,cardinal priest,1937-04-29T00:00:00Z,Barcelona,2007-11-24T00:00:00Z,1987-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q710490,Michael Fitzgerald,Cardinal,1937-08-17T00:00:00Z,Walsall,2019-10-05T00:00:00Z,1992-01-06T00:00:00Z,1961-02-03T00:00:00Z
http://www.wikidata.org/entity/Q517279,Antonio Maria Vegliò,Cardinal,1938-02-03T00:00:00Z,Macerata Feltria,2012-02-18T00:00:00Z,,1962-03-18T00:00:00Z
http://www.wikidata.org/entity/Q374461,Paolo Romeo,Cardinal,1938-02-20T00:00:00Z,Acireale,2010-11-20T00:00:00Z,1984-01-06T00:00:00Z,1961-03-18T00:00:00Z
http://www.wikidata.org/entity/Q720642,Francesco Coccopalmerio,Cardinal,1938-03-06T00:00:00Z,San Giuliano Milanese,2012-02-18T00:00:00Z,1993-05-22T00:00:00Z,1962-06-28T00:00:00Z
http://www.wikidata.org/entity/Q585377,Manuel Monteiro de Castro,Cardinal,1938-03-29T00:00:00Z,Guimarães,2012-02-18T00:00:00Z,,1961-07-09T00:00:00Z
http://www.wikidata.org/entity/Q465435,Pierre Nguyễn Văn Nhơn,Cardinal,1938-04-01T00:00:00Z,Đà Lạt,2015-02-14T00:00:00Z,1991-12-03T00:00:00Z,1967-12-21T00:00:00Z
http://www.wikidata.org/entity/Q53834664,Aquilino Bocos Merino,cardinal-deacon,1938-05-17T00:00:00Z,Canillas de Esgueva,2018-06-28T00:00:00Z,2018-06-16T00:00:00Z,1963-05-23T00:00:00Z
http://www.wikidata.org/entity/Q1376572,Sigitas Tamkevičius,Cardinal,1938-11-07T00:00:00Z,Gudonys,2019-10-05T00:00:00Z,1991-05-19T00:00:00Z,1962-04-18T00:00:00Z
http://www.wikidata.org/entity/Q1743579,Alberto Suárez Inda,Cardinal,1939-01-30T00:00:00Z,Celaya,2015-02-14T00:00:00Z,1985-12-20T00:00:00Z,1964-08-08T00:00:00Z
http://www.wikidata.org/entity/Q534584,Orlando Beltran Quevedo,Cardinal,1939-03-11T00:00:00Z,Laoag,2014-02-22T00:00:00Z,1980-10-28T00:00:00Z,1964-06-05T00:00:00Z
http://www.wikidata.org/entity/Q703552,Edwin Frederick O'Brien,Cardinal,1939-04-08T00:00:00Z,The Bronx,2012-02-18T00:00:00Z,1996-03-25T00:00:00Z,1965-05-29T00:00:00Z
http://www.wikidata.org/entity/Q354306,Stanisław Dziwisz,Cardinal,1939-04-27T00:00:00Z,Raba Wyżna,2006-03-24T00:00:00Z,1998-03-19T00:00:00Z,1963-06-23T00:00:00Z
http://www.wikidata.org/entity/Q1220546,Diego Padrón,cardinal priest,1939-05-17T00:00:00Z,Montalbán,2023-09-30T00:00:00Z,1990-05-27T00:00:00Z,1963-08-04T00:00:00Z
http://www.wikidata.org/entity/Q438243,John Tong Hon,Cardinal,1939-07-31T00:00:00Z,British Hong Kong,2012-02-18T00:00:00Z,1996-12-09T00:00:00Z,1966-01-06T00:00:00Z
http://www.wikidata.org/entity/Q440816,Seán Brady,Cardinal,1939-08-16T00:00:00Z,Drumcalpin,2007-11-24T00:00:00Z,1995-02-19T00:00:00Z,1964-02-22T00:00:00Z
http://www.wikidata.org/entity/Q1287423,Edoardo Menichelli,Cardinal,1939-10-14T00:00:00Z,San Severino Marche,2015-02-14T00:00:00Z,1994-07-09T00:00:00Z,1965-07-03T00:00:00Z
http://www.wikidata.org/entity/Q469828,Bechara Boutros al-Rahi,Cardinal,1940-02-25T00:00:00Z,Himlaya,2012-11-24T00:00:00Z,1986-07-12T00:00:00Z,1967-09-03T00:00:00Z
http://www.wikidata.org/entity/Q395751,Agostino Vallini,Cardinal,1940-04-17T00:00:00Z,Poli,2006-03-24T00:00:00Z,1989-05-13T00:00:00Z,1964-07-19T00:00:00Z
http://www.wikidata.org/entity/Q645159,Felipe Arizmendi Esquivel,Cardinal,1940-05-01T00:00:00Z,Chiltepec de Hidalgo,2020-11-28T00:00:00Z,1991-03-07T00:00:00Z,1963-08-25T00:00:00Z
http://www.wikidata.org/entity/Q100860074,Enrico Feroci,Cardinal,1940-08-27T00:00:00Z,Pizzoli,2020-11-28T00:00:00Z,2020-11-15T00:00:00Z,1965-03-13T00:00:00Z
http://www.wikidata.org/entity/Q395678,Agostino Marchetto,cardinal-deacon,1940-08-28T00:00:00Z,Vicenza,2023-09-30T00:00:00Z,,1964-06-28T00:00:00Z
http://www.wikidata.org/entity/Q1870209,Lorenzo Baldisseri,Cardinal,1940-09-29T00:00:00Z,Barga,2014-02-22T00:00:00Z,1992-03-07T00:00:00Z,1963-06-29T00:00:00Z
http://www.wikidata.org/entity/Q456266,Silvano Maria Tomasi,Cardinal,1940-10-12T00:00:00Z,Mussolente,2020-11-28T00:00:00Z,,1965-05-31T00:00:00Z
http://www.wikidata.org/entity/Q386256,Donald Wuerl,Cardinal,1940-11-12T00:00:00Z,Pittsburgh,2010-11-20T00:00:00Z,1986-01-06T00:00:00Z,1966-12-17T00:00:00Z
http://www.wikidata.org/entity/Q429080,Gabriel Zubeir Wako,Cardinal,1941-02-27T00:00:00Z,Sudan,2003-10-21T00:00:00Z,1975-04-06T00:00:00Z,1963-07-21T00:00:00Z
http://www.wikidata.org/entity/Q527068,Wilfrid Napier,cardinal priest,1941-03-08T00:00:00Z,Western Cape,2001-02-21T00:00:00Z,1981-02-28T00:00:00Z,1970-07-25T00:00:00Z
http://www.wikidata.org/entity/Q1767934,Maurice Piat,Cardinal,1941-07-19T00:00:00Z,Moka,2016-11-19T00:00:00Z,1991-05-19T00:00:00Z,1970-08-02T00:00:00Z
http://www.wikidata.org/entity/Q817288,Beniamino Stella,Cardinal,1941-08-18T00:00:00Z,Pieve di Soligo,2014-02-22T00:00:00Z,,1966-03-19T00:00:00Z
http://www.wikidata.org/entity/Q336109,Angelo Scola,Cardinal,1941-11-07T00:00:00Z,Malgrate,2003-10-21T00:00:00Z,1991-09-21T00:00:00Z,1970-07-18T00:00:00Z
http://www.wikidata.org/entity/Q1191589,Ricardo Ezzati Andrello,Cardinal,1942-01-07T00:00:00Z,Campiglia dei Berici,2014-02-22T00:00:00Z,1996-09-08T00:00:00Z,1970-03-18T00:00:00Z
http://www.wikidata.org/entity/Q112162800,Fortunato Frezza,Cardinal,1942-02-06T00:00:00Z,Rome,2022-08-27T00:00:00Z,2022-07-23T00:00:00Z,1966-06-28T00:00:00Z
http://www.wikidata.org/entity/Q1703810,Jorge Enrique Jiménez Carvajal,Cardinal,1942-03-29T00:00:00Z,Bucaramanga,2022-08-27T00:00:00Z,1992-12-12T00:00:00Z,1967-06-17T00:00:00Z
http://www.wikidata.org/entity/Q143533,Gualtiero Bassetti,Cardinal,1942-04-07T00:00:00Z,Marradi,2014-02-22T00:00:00Z,1994-09-08T00:00:00Z,1966-06-29T00:00:00Z
http://www.wikidata.org/entity/Q364011,Ricardo Blázquez Pérez,cardinal priest,1942-04-13T00:00:00Z,Villanueva del Campillo,2015-02-14T00:00:00Z,1988-05-29T00:00:00Z,
http://www.wikidata.org/entity/Q152302,Norberto Rivera Carrera,cardinal priest,1942-06-06T00:00:00Z,Durango,1998-02-21T00:00:00Z,1985-12-21T00:00:00Z,1966-07-03T00:00:00Z
http://www.wikidata.org/entity/Q1522444,Gianfranco Ghirlanda,cardinal-deacon,1942-07-05T00:00:00Z,Rome,2022-08-27T00:00:00Z,,1973-06-24T00:00:00Z
http://www.wikidata.org/entity/Q556243,Arrigo Miglio,Cardinal,1942-07-18T00:00:00Z,San Giorgio Canavese,2022-08-27T00:00:00Z,1992-04-25T00:00:00Z,1967-09-23T00:00:00Z
http://www.wikidata.org/entity/Q1545283,Gregorio Rosa Chávez,Cardinal,1942-09-03T00:00:00Z,Sociedad,2017-06-28T00:00:00Z,1982-07-03T00:00:00Z,1970-01-24T00:00:00Z
http://www.wikidata.org/entity/Q26639,Rubén Salazar Gómez,cardinal priest,1942-09-22T00:00:00Z,Bogotá,2012-11-24T00:00:00Z,1992-03-25T00:00:00Z,
http://www.wikidata.org/entity/Q543260,Giuseppe Bertello,Cardinal,1942-10-01T00:00:00Z,Foglizzo,2012-02-18T00:00:00Z,1987-11-28T00:00:00Z,1966-06-29T00:00:00Z
http://www.wikidata.org/entity/Q531594,Gianfranco Ravasi,Cardinal,1942-10-18T00:00:00Z,Merate,2010-11-20T00:00:00Z,,1966-06-28T00:00:00Z
http://www.wikidata.org/entity/Q44886,André Vingt-Trois,Cardinal,1942-11-07T00:00:00Z,Paris,2007-11-24T00:00:00Z,1988-10-14T00:00:00Z,1969-06-28T00:00:00Z
http://www.wikidata.org/entity/Q293434,Óscar Andrés Rodríguez Maradiaga,Cardinal,1942-12-29T00:00:00Z,Tegucigalpa,2001-02-21T00:00:00Z,1978-12-08T00:00:00Z,1970-06-28T00:00:00Z
http://www.wikidata.org/entity/Q378603,Angelo Bagnasco,Cardinal,1943-01-14T00:00:00Z,Pontevico,2007-11-24T00:00:00Z,1998-02-07T00:00:00Z,1966-06-29T00:00:00Z
http://www.wikidata.org/entity/Q654613,Domenico Calcagno,Cardinal,1943-02-03T00:00:00Z,Parodi Ligure,2012-02-18T00:00:00Z,2002-03-09T00:00:00Z,1967-06-29T00:00:00Z
http://www.wikidata.org/entity/Q45146,Dominik Duka,Cardinal,1943-04-26T00:00:00Z,Hradec Králové,2012-02-18T00:00:00Z,1998-09-26T00:00:00Z,
http://www.wikidata.org/entity/Q504550,Crescenzio Sepe,Cardinal,1943-06-02T00:00:00Z,Carinaro,2001-02-21T00:00:00Z,1992-04-26T00:00:00Z,1967-03-12T00:00:00Z
http://www.wikidata.org/entity/Q168792,Giuseppe Versaldi,cardinal-deacon,1943-07-30T00:00:00Z,Villarboit,2012-02-18T00:00:00Z,2007-05-26T00:00:00Z,1967-06-29T00:00:00Z
http://www.wikidata.org/entity/Q521184,Angelo Comastri,Cardinal,1943-09-17T00:00:00Z,Sorano,2007-11-24T00:00:00Z,1990-09-12T00:00:00Z,1967-03-11T00:00:00Z
http://www.wikidata.org/entity/Q1685252,Patrick D'Rozario,Cardinal,1943-10-01T00:00:00Z,Padrishibpur Union,2016-11-19T00:00:00Z,1990-09-12T00:00:00Z,1972-10-08T00:00:00Z
http://www.wikidata.org/entity/Q458202,Leonardo Sandri,Cardinal,1943-11-18T00:00:00Z,Buenos Aires,2007-11-24T00:00:00Z,1997-10-11T00:00:00Z,1967-12-02T00:00:00Z
http://www.wikidata.org/entity/Q488084,Andrew Yeom Soo-jung,cardinal priest,1943-12-05T00:00:00Z,Anseong,2014-02-22T00:00:00Z,2002-01-25T00:00:00Z,1970-12-08T00:00:00Z
http://www.wikidata.org/entity/Q1310257,Jean Zerbo,Cardinal,1943-12-27T00:00:00Z,Ségou,2017-06-28T00:00:00Z,1988-11-20T00:00:00Z,1971-07-10T00:00:00Z
http://www.wikidata.org/entity/Q547089,Juan Luis Cipriani Thorne,Cardinal,1943-12-28T00:00:00Z,Lima,2001-02-21T00:00:00Z,1988-07-03T00:00:00Z,1977-08-21T00:00:00Z
http://www.wikidata.org/entity/Q716749,John Onaiyekan,Cardinal,1944-01-29T00:00:00Z,Kabba,2012-11-24T00:00:00Z,1983-01-06T00:00:00Z,1969-08-03T00:00:00Z
http://www.wikidata.org/entity/Q1708436,Pedro Ricardo Barreto Jimeno,Cardinal,1944-02-12T00:00:00Z,Lima,2018-06-28T00:00:00Z,2002-01-01T00:00:00Z,1971-12-18T00:00:00Z
http://www.wikidata.org/entity/Q1674361,José Luis Lacunza Maestrojuán,cardinal priest,1944-02-24T00:00:00Z,Pamplona,2015-02-14T00:00:00Z,1986-01-18T00:00:00Z,1969-07-13T00:00:00Z
http://www.wikidata.org/entity/Q1721124,Louis-Marie Ling Mangkhanekhoun,Cardinal,1944-04-05T00:00:00Z,Xiangkhouang Province,2017-06-28T00:00:00Z,2001-04-22T00:00:00Z,1972-11-05T00:00:00Z
http://www.wikidata.org/entity/Q940055,Luis Ladaria Ferrer,cardinal-deacon,1944-04-19T00:00:00Z,Manacor,2018-06-28T00:00:00Z,2008-07-26T00:00:00Z,
http://www.wikidata.org/entity/Q711547,Marc Ouellet,cardinal priest,1944-06-08T00:00:00Z,La Motte,2003-10-21T00:00:00Z,,1968-05-25T00:00:00Z
http://www.wikidata.org/entity/Q472192,Seán Patrick O'Malley,cardinal priest,1944-06-29T00:00:00Z,Lakewood,2006-03-24T00:00:00Z,1984-08-02T00:00:00Z,1970-08-29T00:00:00Z
http://www.wikidata.org/entity/Q185988,Polycarp Pengo,Cardinal,1944-08-05T00:00:00Z,Tanganyika,1998-02-21T00:00:00Z,1984-01-06T00:00:00Z,1971-06-20T00:00:00Z
http://www.wikidata.org/entity/Q614498,Mauro Piacenza,Cardinal,1944-09-15T00:00:00Z,Genoa,2010-11-20T00:00:00Z,2003-11-15T00:00:00Z,1969-12-21T00:00:00Z
http://www.wikidata.org/entity/Q534446,Jean-Pierre Ricard,cardinal priest,1944-09-25T00:00:00Z,Marseille,2006-03-24T00:00:00Z,1993-04-17T00:00:00Z,1968-10-05T00:00:00Z
http://www.wikidata.org/entity/Q303314,Baltazar Enrique Porras Cardozo,Cardinal,1944-10-10T00:00:00Z,Caracas,2016-11-19T00:00:00Z,1983-09-17T00:00:00Z,1967-07-30T00:00:00Z
http://www.wikidata.org/entity/Q469933,Oswald Gracias,Cardinal,1944-12-24T00:00:00Z,Mumbai,2007-11-24T00:00:00Z,1997-09-16T00:00:00Z,1970-12-20T00:00:00Z
http://www.wikidata.org/entity/Q44747,Christoph Schönborn,cardinal priest,1945-01-22T00:00:00Z,Skalka Castle,1998-02-21T00:00:00Z,,1970-12-27T00:00:00Z
http://www.wikidata.org/entity/Q15060665,Fernando Vérgez Alzaga,Cardinal,1945-03-01T00:00:00Z,Salamanca,2022-08-27T00:00:00Z,2013-11-15T00:00:00Z,1969-11-26T00:00:00Z
http://www.wikidata.org/entity/Q17417834,Celestino Aós Braco,cardinal priest,1945-04-06T00:00:00Z,Artaiz,2020-11-28T00:00:00Z,2014-10-18T00:00:00Z,1968-03-30T00:00:00Z
http://www.wikidata.org/entity/Q457897,George Alencherry,Cardinal,1945-04-19T00:00:00Z,Kottayam district,2012-02-18T00:00:00Z,1997-02-02T00:00:00Z,1972-11-19T00:00:00Z
http://www.wikidata.org/entity/Q1043124,Carlos Osoro,cardinal priest,1945-05-16T00:00:00Z,Castañeda,2016-11-19T00:00:00Z,1997-02-22T00:00:00Z,
http://www.wikidata.org/entity/Q550079,Robert Sarah,cardinal priest,1945-06-15T00:00:00Z,Ourous,2010-11-20T00:00:00Z,,1969-07-20T00:00:00Z
http://www.wikidata.org/entity/Q528954,Stanisław Ryłko,Cardinal,1945-07-04T00:00:00Z,Andrychów,2007-11-24T00:00:00Z,1996-01-06T00:00:00Z,1969-03-30T00:00:00Z
http://www.wikidata.org/entity/Q446020,Joseph Coutts,Cardinal,1945-07-21T00:00:00Z,Amritsar,2018-06-28T00:00:00Z,1988-09-16T00:00:00Z,1971-01-09T00:00:00Z
http://www.wikidata.org/entity/Q962727,Timothy Radcliffe,Cardinal,1945-08-22T00:00:00Z,London,2024-12-07T00:00:00Z,,
http://www.wikidata.org/entity/Q506570,Vinko Puljić,cardinal priest,1945-09-08T00:00:00Z,Priječani,1994-11-26T00:00:00Z,1991-01-06T00:00:00Z,1970-06-29T00:00:00Z
http://www.wikidata.org/entity/Q382332,Antonio Cañizares Llovera,cardinal priest,1945-10-15T00:00:00Z,Utiel,2006-03-24T00:00:00Z,1992-04-25T00:00:00Z,
http://www.wikidata.org/entity/Q765284,Vincent Nichols,Cardinal,1945-11-08T00:00:00Z,Crosby,2014-02-22T00:00:00Z,1992-01-24T00:00:00Z,1969-12-21T00:00:00Z
http://www.wikidata.org/entity/Q602246,Jean-Pierre Kutwa,Cardinal,1945-12-22T00:00:00Z,Abidjan,2014-02-22T00:00:00Z,2001-09-16T00:00:00Z,1971-07-11T00:00:00Z
http://www.wikidata.org/entity/Q556314,Philippe Nakellentuba Ouédraogo,cardinal priest,1945-12-31T00:00:00Z,Kaya,2014-02-22T00:00:00Z,1996-11-23T00:00:00Z,1973-07-14T00:00:00Z
http://www.wikidata.org/entity/Q470625,John Njue,Cardinal,1946-01-01T00:00:00Z,Embu,2007-11-24T00:00:00Z,1986-09-20T00:00:00Z,1973-01-06T00:00:00Z
http://www.wikidata.org/entity/Q1457374,Mario Zenari,Cardinal,1946-01-05T00:00:00Z,Rosegaferro,2016-11-19T00:00:00Z,,1970-07-05T00:00:00Z
http://www.wikidata.org/entity/Q553540,Christophe Pierre,cardinal-deacon,1946-01-30T00:00:00Z,Rennes,2023-09-30T00:00:00Z,1995-09-24T00:00:00Z,1970-04-05T00:00:00Z
http://www.wikidata.org/entity/Q680013,Fernando Filoni,Cardinal,1946-04-15T00:00:00Z,Manduria,2012-02-18T00:00:00Z,,1970-07-03T00:00:00Z
http://www.wikidata.org/entity/Q608116,Juan José Omella Omella,cardinal priest,1946-04-21T00:00:00Z,Cretas,2017-06-28T00:00:00Z,1996-09-22T00:00:00Z,1970-09-30T00:00:00Z
http://www.wikidata.org/entity/Q1441149,Francesco Montenegro,Cardinal,1946-05-22T00:00:00Z,Messina,2015-02-14T00:00:00Z,2000-04-29T00:00:00Z,1969-08-08T00:00:00Z
http://www.wikidata.org/entity/Q28007559,Michael Czerny,cardinal-deacon,1946-07-18T00:00:00Z,Brno,2019-10-05T00:00:00Z,2019-10-04T00:00:00Z,1973-06-09T00:00:00Z
http://www.wikidata.org/entity/Q703558,Thomas Christopher Collins,cardinal priest,1947-01-16T00:00:00Z,Guelph,2012-02-18T00:00:00Z,1997-05-14T00:00:00Z,1973-05-05T00:00:00Z
http://www.wikidata.org/entity/Q124553,Emil Paul Tscherrig,cardinal-deacon,1947-02-03T00:00:00Z,Unterems,2023-09-30T00:00:00Z,1996-06-27T00:00:00Z,1974-04-11T00:00:00Z
http://www.wikidata.org/entity/Q82672,Giuseppe Betori,Cardinal,1947-02-25T00:00:00Z,Foligno,2012-02-18T00:00:00Z,2001-05-06T00:00:00Z,1970-09-26T00:00:00Z
http://www.wikidata.org/entity/Q703566,João Braz de Aviz,Cardinal,1947-04-24T00:00:00Z,Mafra,2012-02-18T00:00:00Z,1994-05-31T00:00:00Z,1972-11-26T00:00:00Z
http://www.wikidata.org/entity/Q610637,António Augusto dos Santos Marto,cardinal priest,1947-05-05T00:00:00Z,Tronco,2018-06-28T00:00:00Z,2001-02-11T00:00:00Z,1971-11-07T00:00:00Z
